ID_id,ID_tdate,ID_bdate,ID_sex,Task_onset,Task_offset,Task_model_type,Task_correct_final_ci,Construct_Action_onset,Construct_Action_offset,Construct_Action_action_cd,Construct_Action_target_rgbls,Construct_Action_verticality_ab,Construct_Action_orientation_longblock_hv,Construct_Action_relation1_color_rgbls,Construct_Action_relation1_orientation_hv,Construct_Action_relation1_frontback_offset,Construct_Action_relation1_leftright_offset,Construct_Action_relation2_color_rgbls,Construct_Action_relation2_orientation_hv,Construct_Action_relation2_frontback_offset,Construct_Action_relation2_leftright_offset,Construct_Action_relation3_color_rgbls,Construct_Action_relation3_orientation_hv,Construct_Action_relation3_frontback_offset,Construct_Action_relation3_leftright_offset,Construct_Action_relation4_color_rgbls,Construct_Action_relation4_orientation_hv,Construct_Action_relation4_frontback_offset,Construct_Action_relation4_leftright_offset,Construct_Action_relation5_color_rgbls,Construct_Action_relation5_orientation_hv,Construct_Action_relation5_frontback_offset,Construct_Action_relation5_leftright_offset,Construct_Action_relation6_color_rgbls,Construct_Action_relation6_orientation_hv,Construct_Action_relation6_frontback_offset,Construct_Action_relation6_leftright_offset,Perspective_Orienting_onset,Perspective_Orienting_offset,Perspective_Orienting_direction_lr
BT_S019_AD,03/21/2024,10/24/2001,f,681292,791418,m3,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",789412,789412,c
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,833986,833986,c,gs,a,.,gl,v,1,-1,yl,v,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,838338,838338,c,ys,a,.,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,840514,840514,c,bl,a,h,ys,.,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,853706,853706,d,bl,a,h,ys,.,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,855542,855542,c,bs,a,.,gl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,857888,857888,c,bl,a,h,bs,.,0,0,ys,.,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",833986,833986,.
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",843472,843472,c
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",847348,847348,c
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",859554,859554,c
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",861050,861050,c
BT_S019_AD,03/21/2024,10/24/2001,f,796042,867476,m4,i,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",865436,865436,c
BT_S019_AD,03/21/2024,10/24/2001,f,874616,1078888,m5,c,882062,882062,c,bl,a,h,rl,h,-1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,874616,1078888,m5,c,884510,884510,d,bl,a,h,rl,h,-1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,874616,1078888,m5,c,885904,885904,c,bl,a,h,rl,h,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S019_AD,03/21/2024,10/24/2001,f,874616,1078888,m5,c,906168,906168,d,bl,a,v,rl,v,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
